E,j
0.07043061927483563,1.856058198141227
0.0790154312658018,6.463363866436339
0.08460742253788611,7.878581936120327
0.09320774647295638,10.425594599964825
0.10051238125316542,13.335907832390149
0.10651931317046692,16.892286219756784
0.10993547537020953,21.09443266689061
0.11271088316597466,24.528861956320156
0.12106482586778133,31.196389546932096
0.12449243072552063,33.86342034892789
0.1279353584573426,34.510574711644495
0.13182048524464984,33.66312900846992
0.13767612081344294,28.695564514251373
0.14310160825163498,23.606694566533065
0.14982339294893787,18.073755777551355
0.1576201080848263,12.864245622340832
0.16691764359641081,8.665041877315048
0.17512808268110258,5.758293389864207
0.1848404436118436,3.70024993604693
0.1997252194864716,1.562583281204752
0.21525002627212841,0.27342363184595797
0.23378578753306734,-0.2474742823953875
0.25015606090930853,0.6450419122263611
0.25897835993179186,2.343767226783143
0.2695234131979223,4.164073382545894
0.2796476732768036,4.651161219247797
0.2910867838933382,2.229937838969704
0.3075003623721553,-2.6140158401816507
0.31872863626319137,-5.68165097761289
0.33448929402444705,-9.677394719980953
0.348084768034449,-12.300119290612429
0.36102774068639465,-14.115028835113094
0.38646486951771974,-15.401932629942507
0.4049988058153573,-15.680439319853576
0.44119942829968406,-15.510541833073262
0.473951039895397,-15.179835161765936
0.5075645424261295,-14.848930462308203
0.5702685185607268,-14.470925324016662
0.6101301636482024,-14.017400029666419
0.6471853773769816,-12.877761218985711
0.6945705908350028,-9.958239068661442
0.7204083649012165,-7.205269289863622
0.7496842002388746,-3.1587829511827294
0.7608639247521909,0.23720390952814796
0.7668658749830535,4.439944467587225
0.7728691571363904,8.481083702043634
0.7780128663588359,12.198843783291977
0.7831711749624157,13.977517273040007
0.7891998907253577,14.625265746681976
0.7978278924302005,13.496123116300168
0.8069035680804326,10.145206747036696
0.8153313048621806,6.996116542293294
0.822673046362113,4.977923421714763
0.8319497105910267,3.5661431774633456
0.8461712245604496,3.650200727991205
0.8625390647065017,4.865898021196358
0.8823473995168247,7.051909174130856
0.8987076358388659,9.27754470021273
0.9124924253174314,10.129071846782722
0.9314486019508537,11.022182178804087
0.9458798097933219,11.873836244916106
0.9476517630636763,5.491421831847333
0.9470701296771842,-3.1134315396367356
0.9436965487617921,-12.971214809623575
0.9374826604977167,-17.658787349854833
0.9273798064497099,-20.973715173079654
0.9127457850652587,-23.522114139873565
0.8946580018831529,-25.263384901640734
0.8744161731490698,-27.1263139965414
0.8453531885702332,-30.80919636757119
0.820604755416356,-35.137429140496806
0.8061925938932573,-38.53411548305303
0.7924276897783471,-42.011507930512835
0.7797321258234196,-44.438276496114554
0.7678941209286989,-46.25887972057717
0.7443983759605515,-45.254338125437016
0.7152827728805258,-41.948442740583005
0.7027681233958798,-39.769836518252305
0.688520641068648,-36.420086822217286
0.6749118995999863,-32.01987698368805
0.6541874194601744,-27.01533374973053
0.6287420787005888,-24.637723449341934
0.5815345076010126,-22.54787829027532
0.5446696372924655,-20.33449337180116
0.5056630766529073,-19.89908884454917
0.46902706160019747,-19.46311805889013
0.4326060999217378,-18.98670285554124
0.3755050645137561,-19.40379406698878
0.3490136879444097,-21.187390646245262
0.32534079349600553,-25.27298465965282
0.31114513265833055,-28.790849483218153
0.2988894499173982,-32.38905859122417
0.2862022134420683,-35.90657683905215
0.2750071658920312,-37.282665658913174
0.2622861683274986,-36.31604346370045
0.2435238694895745,-34.340869338560424
0.22585669042469658,-34.708505216095205
0.20217144108060237,-37.137820374555645
0.18624872609841314,-40.25206713139244
0.16841759165589298,-47.44697209843844
0.1557437378652835,-52.74197558768958
0.1407204400599802,-60.824947181602624
0.13471757726614775,-64.90648132671129
0.13279694978485646,-67.41158585741186
0.1272141982300634,-70.0387168191312
0.12095742422291678,-69.03021439624149
0.1159744401362921,-65.47636105311176
0.1088198851708162,-59.70115165544553
0.10187836970890629,-53.60271165215852
0.09322938117005553,-49.686102344335495
0.0845916465444565,-47.2642353196203
0.07726267929971908,-46.94271596464114
0.0692915522098454,-47.18693905525913
